Web Search interest: halo5
United States date_range:(today 30-d)

Interest over time
Day,halo5
2016-06-22,65
2016-06-23,28
2016-06-24,29
2016-06-25,72
2016-06-26,73
2016-06-27,28
2016-06-28,84
2016-06-29,75
2016-06-30,57
2016-07-01,100
2016-07-02,85
2016-07-03,38
2016-07-04,48
2016-07-05,59
2016-07-06,56
2016-07-07,38
2016-07-08,57
2016-07-09,35
2016-07-10,36
2016-07-11,86
2016-07-12,74
2016-07-13,66
2016-07-14,56
2016-07-15,58
2016-07-16,53
2016-07-17,72
2016-07-18,28
2016-07-19,0
2016-07-20, 
2016-07-21, 


Top subregions for halo5
Subregion,halo5
Louisiana,100
Iowa,54
Indiana,34
Alabama,33
Wisconsin,29
Oklahoma,29
Utah,26
Arizona,21
South Carolina,18
Minnesota,17
Washington,16
North Carolina,13
Tennessee,13
Maryland,12
Missouri,12
Colorado,12
Oregon,12
Virginia,11
Georgia,10
Texas,9
Pennsylvania,9
New York,9
Michigan,9
California,7
Ohio,7
New Jersey,7
Massachusetts,6
Florida,4
Illinois,4
Alaska,0
Arkansas,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Idaho,0
Kansas,0
Kentucky,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Rhode Island,0
South Dakota,0
Vermont,0
West Virginia,0
Wyoming,0


Top metros for halo5
Metro,halo5
Colorado Springs-Pueblo CO,100
Tucson (Sierra Vista) AZ,85
Rochester NY,66
Oklahoma City OK,51
Columbus OH,28
Pittsburgh PA,26
Austin TX,13
Tampa-St. Petersburg (Sarasota) FL,12
Dallas-Ft. Worth TX,7
Boston MA-Manchester NH,5
San Francisco-Oakland-San Jose CA,5
New York NY,2
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Philadelphia PA,0
Detroit MI,0
Savannah GA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Washington DC (Hagerstown MD),0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Atlanta GA,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Orlando-Daytona Beach-Melbourne FL,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Алпена,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
